iter	Passed	Remaining
125	6910	47933
126	6962	47857
127	7004	47719
128	7068	47726
129	7182	48064
130	7263	48180
131	7318	48127
132	7371	48051
133	7417	47939
134	7469	47862
135	7520	47779
136	7575	47717
137	7619	47594
138	7672	47525
139	7729	47484
140	7794	47483
141	7849	47428
142	7904	47372
143	7964	47344
144	8020	47291
145	8072	47219
146	8126	47154
147	8180	47093
148	8230	47006
149	8282	46934
150	8331	46844
151	8385	46782
152	8445	46753
153	8496	46673
154	8542	46570
155	8608	46576
156	8661	46506
157	8711	46424
158	8753	46297
159	8811	46262
160	8852	46130
161	8896	46018
162	8942	45920
163	9069	46230
164	9119	46151
165	9161	46029
166	9200	45893
167	9245	45785
168	9281	45640
169	9333	45569
170	9377	45463
171	9418	45341
172	9459	45217
173	9494	45072
174	9548	45014
175	9593	44914
176	9641	44829
177	9677	44689
178	9716	44564
179	9762	44473
180	9804	44364
181	9845	44250
182	9881	44116
183	9928	44029
184	9981	43973
185	10022	43861
186	10068	43772
187	10112	43679
188	10157	43587
189	10210	43526
190	10246	43400
191	10279	43261
192	10325	43174
193	10364	43059
194	10411	42980
195	10457	42896
196	10495	42781
197	10538	42685
198	10582	42595
199	10636	42546
200	10672	42425
201	10718	42343
202	10764	42261
203	10809	42177
204	10854	42095
205	10889	41973
206	10932	41880
207	10969	41768
208	11012	41680
209	11066	41629
210	11107	41534
211	11151	41451
212	11189	41344
213	11232	41257
214	11281	41190
215	11318	41080
216	11355	40974
217	11398	40888
218	11443	40811
219	11486	40724
220	11532	40650
221	11566	40535
222	11605	40436
223	11649	40357
224	11700	40301
225	11742	40215
226	11785	40134
227	11835	40075
228	11893	40042
229	11948	40001
230	12002	39955
231	12060	39925
232	12113	39877
233	12175	39855
234	12228	39808
235	12276	39742
236	12330	39696
237	12395	39686
238	12445	39627
239	12492	39558
240	12548	39520
241	12610	39499
242	12659	39438
243	12712	39389
244	12761	39326
245	12831	39327
246	12889	39295
247	12941	39240
248	12996	39198
249	13074	39222
250	13127	39172
251	13169	39089
252	13213	39013
253	13279	39003
254	13327	38936
255	13375	38872
256	13416	38787
257	13470	38739
258	13519	38680
259	13565	38610
260	13618	38560
261	13677	38525
262	13728	38471
263	13772	38397
264	13821	38334
265	13899	38353
266	13950	38297
267	14005	38254
268	14059	38204
269	14121	38181
270	14164	38104
271	14216	38049
272	14271	38005
273	14330	37971
274	14380	37912
275	14438	37873
276	14489	37818
277	14547	37782
278	14595	37717
279	14637	37639
280	14681	37565
281	14733	37512
282	14779	37444
283	14832	37394
284	14884	37342
285	14929	37272
286	14990	37241
287	15037	37175
288	15077	37093
289	15117	37012
290	15163	36945
291	15215	36891
292	15280	36871
293	15340	36839
294	15383	36764
295	15431	36702
296	15489	36662
297	15527	36577
298	15573	36512
299	15615	36436
300	15660	36368
301	15710	36310
302	15748	36226
303	15792	36157
304	15828	36069
305	15873	36001
306	15926	35951
307	15973	35888
308	16014	35813
309	16060	35746
310	16106	35682
311	16145	35603
312	16187	35529
313	16226	35449
314	16269	35380
315	16311	35307
316	16362	35253
317	16406	35186
318	16447	35112
319	16489	35039
320	16530	34965
321	16577	34905
322	16616	34826
323	16657	34754
324	16695	34675
325	16737	34603
326	16781	34537
327	16819	34459
328	16858	34382
329	16893	34298
330	16933	34224
331	16990	34185
332	17031	34113
333	17074	34046
334	17117	33978
335	17157	33906
336	17194	33828
337	17242	33771
338	17283	33700
339	17322	33625
340	17358	33545
341	17393	33464
342	17440	33406
343	17484	33343
344	17520	33263
345	17558	33187
346	17600	33121
347	17638	33046
348	17686	32991
349	17724	32917
350	17766	32849
351	17803	32774
352	17838	32695
353	17883	32634
354	17923	32565
355	17972	32511
356	18007	32433
357	18049	32367
358	18096	32311
359	18136	32241
360	18175	32172
361	18210	32095
362	18246	32019
363	18292	31961
364	18332	31893
365	18371	31824
366	18409	31753
367	18445	31678
368	18484	31609
369	18522	31538
370	18566	31478
371	18609	31416
372	18648	31346
373	18685	31274
374	18720	31200
375	18767	31146
376	18805	31076
377	18843	31007
378	18888	30948
379	18923	30875
380	18967	30815
381	19015	30763
382	19057	30701
383	19096	30634
384	19134	30564
385	19172	30497
386	19214	30434
387	19256	30373
388	19308	30327
389	19350	30265
390	19396	30211
391	19446	30162
392	19511	30136
393	19561	30086
394	19618	30048
395	19662	29989
396	19714	29944
397	19772	29906
398	19820	29854
399	19867	29801
400	19910	29741
401	19962	29696
402	20011	29644
403	20049	29578
404	20086	29509
405	20128	29448
406	20166	29382
407	20221	29340
408	20306	29342
409	20364	29304
410	20466	29330
411	20522	29289
412	20577	29246
413	20614	29178
414	20660	29123
415	20704	29066
416	20755	29018
417	20796	28956
418	20835	28891
419	20876	28828
420	20921	28773
421	20978	28733
422	21017	28668
423	21062	28613
424	21098	28545
425	21138	28482
426	21190	28436
427	21236	28382
428	21278	28321
429	21318	28259
430	21375	28220
431	21424	28169
432	21469	28113
433	21504	28045
434	21544	27983
435	21585	27923
436	21636	27875
437	21676	27812
438	21714	27749
439	21754	27686
440	21793	27624
441	21841	27573
442	21885	27517
443	21925	27455
444	21970	27401
445	22010	27340
446	22061	27293
447	22103	27234
448	22140	27170
449	22185	27115
450	22226	27055
451	22276	27007
452	22316	26947
453	22357	26887
454	22398	26829
455	22437	26767
456	22490	26723
457	22531	26664
458	22572	26605
459	22613	26545
460	22651	26484
461	22713	26450
462	22767	26406
463	22813	26353
464	22876	26319
465	22948	26296
466	22996	26246
467	23047	26199
468	23098	26152
469	23158	26115
470	23200	26058
471	23247	26005
472	23281	25939
473	23329	25888
474	23375	25836
475	23413	25774
476	23453	25715
477	23493	25656
478	23539	25603
479	23592	25558
480	23643	25510
481	23745	25519
482	23867	25547
483	23928	25510
484	23990	25474
485	24072	25459
486	24162	25452
487	24210	25400
488	24264	25356
489	24306	25298
490	24348	25241
491	24388	25182
492	24429	25123
493	24488	25083
494	24532	25027
495	24573	24969
496	24613	24910
497	24664	24862
498	24709	24808
499	24757	24757
500	24795	24696
501	24832	24634
502	24874	24578
503	24926	24530
504	24976	24482
505	25038	24444
506	25080	24388
507	25136	24345
508	25172	24282
509	25212	24224
510	25256	24168
511	25294	24108
512	25344	24059
513	25384	24001
514	25428	23947
515	25468	23889
516	25508	23830
517	25587	23809
518	25625	23749
519	25667	23693
520	25707	23635
521	25760	23589
522	25811	23541
523	25857	23489
524	25899	23432
525	25948	23383
526	25990	23327
527	26035	23274
528	26076	23217
529	26124	23167
530	26182	23125
531	26238	23081
532	26402	23133
533	26514	23137
534	26637	23151
535	26734	23143
536	26786	23095
537	26833	23042
538	26884	22994
539	26944	22952
540	26989	22898
541	27025	22836
542	27070	22782
543	27113	22727
544	27229	22732
545	27284	22687
546	27338	22640
547	27388	22590
548	27430	22534
549	27468	22474
550	27507	22415
551	27548	22358
552	27601	22310
553	27652	22261
554	27701	22211
555	27740	22152
556	27784	22098
557	27834	22048
558	27886	21999
559	27944	21956
560	27994	21906
561	28046	21858
562	28085	21800
563	28129	21745
564	28169	21688
565	28219	21638
566	28266	21586
567	28305	21527
568	28358	21480
569	28404	21427
570	28464	21385
571	28524	21343
572	28576	21294
573	28628	21246
574	28677	21196
575	28736	21153
576	28787	21104
577	28839	21055
578	28916	21025
579	28970	20978
580	29019	20927
581	29057	20869
582	29099	20814
583	29144	20760
584	29193	20709
585	29229	20650
586	29270	20593
587	29322	20545
588	29370	20494
589	29426	20448
590	29460	20388
591	29501	20332
592	29543	20276
593	29579	20217
594	29632	20169
595	29669	20111
596	29715	20059
597	29761	20007
598	29809	19955
599	29855	19903
600	29897	19848
601	29944	19796
602	29983	19740
603	30022	19683
604	30084	19641
605	30149	19602
606	30209	19559
607	30253	19505
608	30302	19455
609	30341	19398
610	30375	19338
611	30417	19284
612	30457	19228
613	30500	19174
614	30542	19119
615	30577	19061
616	30621	19008
617	30664	18954
618	30714	18905
619	30758	18851
620	30803	18799
621	30848	18747
622	30900	18699
623	30956	18653
624	30999	18599
625	31040	18544
626	31075	18486
627	31126	18437
628	31174	18387
629	31215	18333
630	31262	18282
631	31304	18227
632	31350	18176
633	31399	18126
634	31442	18073
635	31478	18016
636	31518	17961
637	31559	17906
638	31602	17853
639	31640	17797
640	31673	17739
641	31718	17687
642	31760	17633
643	31802	17580
644	31849	17529
645	31889	17475
646	31930	17421
647	31971	17367
648	32015	17314
649	32054	17259
650	32089	17202
651	32125	17146
652	32162	17091
653	32204	17038
654	32252	16988
655	32289	16932
656	32332	16879
657	32367	16823
658	32402	16766
659	32443	16713
660	32486	16661
661	32526	16607
662	32560	16550
663	32593	16493
664	32636	16440
665	32680	16389
666	32726	16338
667	32771	16287
668	32811	16233
669	32857	16183
670	32898	16130
671	32947	16081
672	32982	16025
673	33020	15971
674	33061	15918
675	33099	15864
676	33149	15815
677	33188	15762
678	33230	15709
679	33269	15656
680	33309	15602
681	33365	15557
682	33406	15504
683	33449	15453
684	33488	15400
685	33533	15349
686	33585	15301
687	33629	15250
688	33668	15197
689	33708	15144
690	33751	15092
691	33797	15042
692	33843	14992
693	33884	14940
694	33923	14887
695	33962	14834
696	34014	14786
697	34050	14732
698	34091	14680
699	34127	14626
700	34165	14572
701	34213	14523
702	34255	14472
703	34290	14417
704	34329	14364
705	34369	14312
706	34420	14264
707	34458	14211
708	34498	14159
709	34543	14109
710	34581	14056
711	34633	14009
712	34669	13955
713	34710	13903
714	34749	13851
715	34792	13800
716	34848	13754
717	34893	13704
718	34943	13656
719	34989	13607
720	35041	13559
721	35102	13515
722	35162	13471
723	35211	13423
724	35265	13376
725	35325	13332
726	35378	13285
727	35427	13236
728	35479	13189
729	35552	13149
730	35599	13100
731	35646	13050
732	35695	13002
733	35747	12954
734	35792	12904
735	35856	12861
736	35904	12812
737	35958	12765
738	36006	12716
739	36052	12666
740	36094	12615
741	36147	12568
742	36188	12517
743	36224	12464
744	36259	12410
745	36296	12358
746	36337	12306
747	36377	12255
748	36422	12205
749	36458	12152
750	36494	12099
751	36535	12048
752	36571	11996
753	36625	11949
754	36661	11896
755	36700	11845
756	36740	11793
757	36775	11740
758	36831	11694
759	36883	11647
760	36923	11596
761	36961	11544
762	37000	11492
763	37041	11442
764	37088	11393
765	37135	11344
766	37174	11293
767	37216	11242
768	37260	11192
769	37309	11144
770	37348	11093
771	37385	11041
772	37425	10990
773	37468	10940
774	37518	10892
775	37552	10839
776	37589	10788
777	37632	10738
778	37670	10686
779	37718	10638
780	37756	10587
781	37791	10535
782	37836	10486
783	37880	10436
784	37930	10388
785	37968	10337
786	38006	10286
787	38046	10235
788	38085	10185
789	38134	10137
790	38172	10086
791	38208	10034
792	38243	9982
793	38279	9931
794	38320	9881
795	38363	9831
796	38408	9782
797	38447	9732
798	38485	9681
799	38525	9631
800	38570	9582
801	38616	9533
802	38655	9483
803	38693	9432
804	38732	9382
805	38780	9334
806	38827	9285
807	38865	9235
808	38904	9185
809	38942	9134
810	39032	9096
811	39097	9052
812	39131	9000
813	39173	8951
814	39215	8901
815	39252	8851
816	39291	8800
817	39328	8750
818	39365	8699
819	39408	8650
820	39454	8602
821	39492	8551
822	39531	8501
823	39567	8451
824	39605	8401
825	39652	8352
826	39694	8303
827	39733	8253
828	39768	8203
829	39813	8154
830	39853	8104
831	39909	8058
832	39948	8008
833	39985	7958
834	40027	7909
835	40063	7859
836	40124	7813
837	40170	7765
838	40263	7726
839	40375	7690
840	40468	7650
841	40531	7605
842	40595	7560
843	40638	7511
844	40677	7461
845	40726	7413
846	40767	7364
847	40810	7315
848	40857	7266
849	40896	7217
850	40940	7168
851	40976	7118
852	41011	7067
853	41047	7017
854	41082	6967
855	41127	6918
856	41168	6869
857	41206	6819
858	41243	6769
859	41282	6720
860	41318	6670
861	41358	6621
862	41402	6572
863	41442	6523
864	41481	6473
865	41523	6425
866	41561	6375
867	41608	6327
868	41646	6278
869	41684	6228
870	41723	6179
871	41762	6130
872	41818	6083
873	41854	6033
874	41892	5984
875	41931	5935
876	41966	5885
877	42016	5838
878	42054	5789
879	42091	5739
880	42129	5690
881	42161	5640
882	42204	5592
883	42247	5543
884	42285	5494
885	42325	5445
886	42367	5397
887	42425	5350
888	42480	5304
889	42520	5255
890	42564	5207
891	42603	5158
892	42653	5110
893	42692	5061
894	42732	5013
895	42783	4965
896	42820	4916
897	42859	4868
898	42907	4820
899	42949	4772
900	42986	4723
901	43023	4674
902	43065	4626
903	43105	4577
904	43145	4529
905	43183	4480
906	43222	4431
907	43262	4383
908	43303	4335
909	43343	4286
910	43381	4238
911	43419	4189
912	43457	4141
913	43496	4092
914	43536	4044
915	43579	3996
916	43616	3947
917	43659	3899
918	43699	3851
919	43735	3803
920	43796	3756
921	43836	3708
922	43876	3660
923	43915	3612
924	43957	3564
925	44012	3517
926	44056	3469
927	44095	3421
928	44133	3372
929	44179	3325
930	44224	3277
931	44263	3229
932	44300	3181
933	44338	3133
934	44386	3085
935	44440	3038
936	44478	2990
937	44514	2942
938	44558	2894
939	44597	2846
940	44642	2799
941	44681	2751
942	44717	2702
943	44761	2655
944	44801	2607
945	44843	2559
946	44881	2511
947	44920	2463
948	44960	2416
949	44998	2368
950	45039	2320
951	45079	2272
952	45120	2225
953	45158	2177
954	45195	2129
955	45227	2081
956	45275	2034
957	45312	1986
958	45347	1938
959	45386	1891
960	45420	1843
961	45458	1795
962	45501	1748
963	45542	1700
964	45581	1653
965	45619	1605
966	45655	1558
967	45692	1510
968	45736	1463
969	45791	1416
970	45829	1368
971	45868	1321
972	45902	1273
973	45946	1226
974	45993	1179
975	46030	1131
976	46069	1084
977	46107	1037
978	46146	989
979	46191	942
980	46232	895
981	46270	848
982	46305	800
983	46347	753
984	46400	706
985	46438	659
986	46471	612
987	46513	564
988	46551	517
989	46596	470
990	46634	423
991	46674	376
992	46714	329
993	46761	282
994	46807	235
995	46849	188
996	46886	141
997	46925	94
998	46967	47
999	47028	0
