iter	RMSE
0	0.2465567037
1	0.2334977659
2	0.2222973857
3	0.2127413302
4	0.204707521
5	0.198088715
6	0.1916790886
7	0.1850470576
8	0.1801860988
9	0.1751108987
10	0.1714899561
11	0.1674074076
12	0.1637906664
13	0.1612461449
14	0.1591441483
15	0.1558491568
16	0.1538971253
17	0.1517439709
18	0.1482269331
19	0.1447680499
20	0.1410293878
21	0.1390268858
22	0.1374346852
23	0.1344580999
24	0.1319355727
25	0.1289840701
26	0.1273136939
27	0.1257375959
28	0.123192828
29	0.1210295285
30	0.1183471423
31	0.117056088
32	0.114978601
33	0.1131732499
34	0.1108779408
35	0.1091144306
36	0.1061393547
37	0.1045507035
38	0.1027669442
39	0.101290161
40	0.1002134576
41	0.09862500179
42	0.09619269605
43	0.09485126435
44	0.09379437603
45	0.09251441042
46	0.09206406681
47	0.09086005744
48	0.08966838897
49	0.08771450631
50	0.08663532039
51	0.0855083701
52	0.0851259101
53	0.08419832583
54	0.08328546379
55	0.08223662903
56	0.08052784021
57	0.07937253531
58	0.0779325372
59	0.07727643274
60	0.07638272977
61	0.07558043687
62	0.07483144074
63	0.07401038229
64	0.07343279098
65	0.0727448987
66	0.0714999776
67	0.07120854668
68	0.07050837254
69	0.06993297017
70	0.06943907374
71	0.06837977954
72	0.06782649599
73	0.06716516527
74	0.06668284322
75	0.0656477602
76	0.06508965155
77	0.06470149396
78	0.06379682638
79	0.06328475463
80	0.0628647764
81	0.06246166677
82	0.06157246781
83	0.06082448019
84	0.06033761314
85	0.05998650206
86	0.0595568671
87	0.05920466782
88	0.05874265684
89	0.05815045569
90	0.05784216777
91	0.05744035134
92	0.05722272873
93	0.05644170131
94	0.05578056311
95	0.05523628014
96	0.0548967185
97	0.05466848782
98	0.05430008624
99	0.05397867434
100	0.05367131184
101	0.05344815026
102	0.0532131672
103	0.05295451321
104	0.0524899085
105	0.05223225324
106	0.05203341404
107	0.05164712609
108	0.05142058654
109	0.05071796445
110	0.05054412828
111	0.05033381212
112	0.0501247702
113	0.04996757606
114	0.04982656467
115	0.04965098693
116	0.04931971362
117	0.04915429871
118	0.04862266935
119	0.04838389038
120	0.04824671968
121	0.04797021725
122	0.04756781952
123	0.04704805535
124	0.04683346772
125	0.04660076391
126	0.04635410037
127	0.04625277821
128	0.04606077473
129	0.045610827
130	0.04543065567
131	0.04528232975
132	0.0446428928
133	0.04421338889
134	0.04386399556
135	0.04379749712
136	0.04363267609
137	0.04334425534
138	0.04320869869
139	0.04292988725
140	0.0427756529
141	0.04254077948
142	0.04203220218
143	0.04191797656
144	0.04165283338
145	0.0412292262
146	0.0410029958
147	0.04085674766
148	0.04076123474
149	0.04062740815
150	0.04050831354
151	0.04037488721
152	0.04029374081
153	0.04019302381
154	0.03983692089
155	0.03942997961
156	0.03934875928
157	0.03925437424
158	0.03914810462
159	0.0390069186
160	0.03876740856
161	0.03846683526
162	0.03834981514
163	0.03828295222
164	0.03817829743
165	0.03792903858
166	0.03784298087
167	0.03774710019
168	0.03768250928
169	0.0376161592
170	0.03752904419
171	0.03732092412
172	0.03726451156
173	0.03720757654
174	0.03703603721
175	0.0369363165
176	0.03672617387
177	0.03658450099
178	0.03652248399
179	0.03647577329
180	0.03637933201
181	0.03626229695
182	0.03588651543
183	0.03581632411
184	0.03573494
185	0.0356848387
186	0.03564354313
187	0.03557249128
188	0.0355333587
189	0.03547948357
190	0.03542316825
191	0.03507848942
192	0.03504120853
193	0.03482211658
194	0.03472255754
195	0.03463834583
196	0.0344304008
197	0.03434729786
198	0.03431211554
199	0.0341198845
200	0.03381195088
201	0.03377911806
202	0.03369493676
